Brand,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,OS,VRAM,Price_VND
Samsung,Intel Core i5 (12th Gen),Intel,32,16, DDR4 RAM ,4.2,LED,15.6,Integrated Graphics,Intel,512,0,43.0,Windows 11,0,16197000
ASUS,AMD Quad-Core Ryzen 3,AMD,0,8, LPDDR5 RAM,4.0,LCD,15.6,Integrated Graphics,AMD,512,0,45.0,Windows 11,0,10797000
HP,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,0.8,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11097000
Lenovo,Intel Core i5 (6th Gen),Intel,12,8, DDR4 RAM ,2.3,LED,15.6,GeForce N16V-GMR1,NVIDIA,64,1024,65.0,Windows 10,2,14847000
ASUS,Intel Core i3 (12th Gen),Intel,0,16, DDR4 RAM,1.2,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,12597000
ASUS,AMD Hexa-Core Ryzen 5,AMD,0,8, DDR4 RAM,4.0,LCD,15.6,Integrated Graphics,AMD,256,1024,65.0,Windows 11,0,14397000
ASUS,Intel Core i3 (11th Gen),Intel,16,8, DDR4 RAM ,1.7,LCD,15.6,Integrated Graphics,Intel,256,0,45.0,Windows 11,0,9450000
ASUS,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,1.2,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,11397000
Wings,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.5,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,8697000
ASUS,Intel Celeron Dual-Core,Intel,0,4, DDR4 RAM,2.8,LCD,15.6,Integrated Graphics,Intel,256,0,33.0,Windows 11,0,5997000
Infinix,Intel Core i3 (11th Gen),Intel,8,8, LPDDR4X RAM ,4.0,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,8997000
MSI,Intel Core i5 (12th Gen),Intel,0,16, DDR4 RAM,3.3,LCD,15.6,Arc A370M,Intel,512,0,65.0,Windows 11,4,15747000
ASUS,Intel Core i3 (12th Gen),Intel,8,8, DDR4 RAM ,1.8,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10497000
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,16, DDR5 RAM ,3.1,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,20997000
HP,Intel Core i5 (13th Gen),Intel,16,16, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,20697000
Infinix,Intel Core i5 (11th Gen),Intel,0,16, LPDDR4X RAM,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,15897000
ASUS,Intel Core i7 (11th Gen),Intel,32,16, DDR4 RAM ,2.3,LCD,15.6,GeForce RTX 3050 Ti,NVIDIA,1024,0,180.0,Windows 11,4,24899700
Infinix,Intel Core i5 (11th Gen),Intel,0,8, LPDDR4X RAM,4.7,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,8697000
ASUS,AMD Octa-Core Ryzen 7,AMD,32,16, DDR4 RAM ,4.2,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,23370000
MSI,Intel Core i5 (11th Gen),Intel,0,16, DDR4 RAM,4.2,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,17577000
Lenovo,Intel Core i5 (12th Gen),Intel,16,16, LPDDR5 RAM ,2.0,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,17097000
ASUS,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,2.7,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,150.0,Windows 11,4,17997000
ASUS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,3.1,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,120.0,Windows 11,4,18297000
HP,AMD Hexa-Core Ryzen 5,AMD,8,8, DDR5 RAM ,3.3,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,19797000
ASUS,AMD Hexa-Core Ryzen 5,AMD,0,16, DDR4 RAM,2.0,LCD,16.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,14997000
HP,Intel Core i3 (13th Gen),Intel,8,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,12039600
HP,Intel Core i7 (13th Gen),Intel,0,16, DDR4 RAM,3.4,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,26190000
Lenovo,AMD Quad-Core Ryzen 3,AMD,8,8, LPDDR5 RAM ,2.4,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,10197000
ASUS,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.4,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,19199700
HP,Intel Core i3 (12th Gen),Intel,8,8, DDR4 RAM ,3.3,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11097000
HP,Intel Core i5 (12th Gen),Intel,8,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,15899700
Lenovo,Intel Core i3 (11th Gen),Intel,0,4, DDR4 RAM,3.0,LED,15.0,Integrated Graphics,Intel,256,0,65.0,Windows 10,0,9897000
ASUS,Intel Core i5 (12th Gen),Intel,0,16, LPDDR5 RAM,2.0,LED,15.6,GeForce RTX 3050,NVIDIA,512,0,150.0,Windows 11,4,23265000
ASUS,Intel Core i7 (12th Gen),Intel,0,16, DDR4 RAM,3.0,LED,14.0,Integrated Graphics,Intel,512,0,90.0,Windows 11,0,22797000
HP,Intel Core i3 (12th Gen),Intel,0,8, DDR4 RAM,4.2,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,16497000
ASUS,AMD Hexa-Core Ryzen 5,AMD,16,16, DDR4 RAM ,3.3,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,120.0,Windows 11,4,19797000
ASUS,Intel Celeron Dual-Core,Intel,0,8, DDR4 RAM,1.1,LCD,14.0,Integrated Graphics,Intel,256,0,33.0,Windows 11,0,6897000
ASUS,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,2.7,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,18297000
Lenovo,Intel Core i5 (12th Gen),Intel,48,8, DDR4 RAM ,1.3,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,20397000
Lenovo,Intel Core i7 (13th Gen),Intel,16,16, DDR5 RAM ,2.4,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,170.0,Windows 11,6,28797000
MSI,Intel Core i5 (12th Gen),Intel,0,16, DDR4 RAM,3.3,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,19497000
Lenovo,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,3.1,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,230.0,Windows 11,4,29397000
Lenovo,Intel Core i5 (12th Gen),Intel,0,16, DDR4 RAM,3.3,LCD,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,21840000
MSI,Intel Core i5 (12th Gen),Intel,0,8, DDR4 RAM,3.3,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,17997000
MSI,AMD Hexa-Core Ryzen 5,AMD,0,8, DDR5 RAM,4.2,LCD,15.6,Radeon RX6550M,AMD,512,0,65.0,Windows 11,4,15417000
Lenovo,AMD Quad-Core Ryzen 3,AMD,8,8, LPDDR5 RAM ,2.4,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,9867000
MSI,Intel Core i3 (12th Gen),Intel,8,8, LPDDR4X RAM ,3.3,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,9777000
Acer,Intel Core i5 (11th Gen) Processor,Intel,32,8, DDR4 RAM ,2.5,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,12897000
MSI,Intel Core i7 (12th Gen),Intel,0,16, DDR5 RAM,4.7,LCD,17.3,GeForce RTX 4060,NVIDIA,1024,0,65.0,Windows 11,8,32997000
HP,Intel Core i3 (11th Gen) Processor,Intel,0,4, DDR4 RAM,2.5,LED,15.6,Integrated Graphics,Intel,64,1024,45.0,Windows 10,0,11722800
HP,Intel Core i7 (14th Gen),Intel,16,16, DDR5 RAM ,5.5,LCD,16.1,GeForce RTX 4060,NVIDIA,1024,0,280.0,Windows 11,8,41697000
ASUS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,2.0,LCD,16.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,16497000
Dell,Intel Core i5 (12th Gen),Intel,16,8, DDR4 RAM ,3.3,LCD,15.6,Integrated Graphics,Intel,256,1024,65.0,Windows 11,0,16349700
HP,Intel Core i5 (13th Gen),Intel,0,16, DDR4 RAM,4.8,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,150.0,Windows 11,4,18854700
ASUS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,4.7,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,90.0,Windows 11,4,26997000
Lenovo,Intel Core i5 (13th Gen),Intel,16,16, DDR4 RAM ,1.3,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,21447000
Infinix,Intel Core i7 (12th Gen),Intel,0,16, LPDDR5 RAM,2.3,LCD,15.6,Integrated Graphics,Intel,512,0,100.0,Windows 11,0,13197000
MSI,Intel Core i7 (13th Gen),Intel,0,8, DDR5 RAM,4.8,LCD,17.3,GeForce RTX 4060,NVIDIA,1024,0,65.0,Windows 11,8,38697000
ASUS,AMD Octa-Core Ryzen 7,AMD,16,16, DDR4 RAM ,3.3,LCD,17.3,GeForce RTX 3050,NVIDIA,512,0,90.0,Windows 11,4,33669000
HP,Intel Core i7 (13th Gen),Intel,0,16, DDR5 RAM,4.8,LCD,17.3,GeForce RTX 4060,NVIDIA,1024,0,330.0,Windows 11,8,33897000
HP,Intel Core i5 (13th Gen),Intel,16,16, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,16830000
MSI,Intel Core i3 (12th Gen),Intel,0,8, DDR4 RAM,0.8,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,9897000
ASUS,AMD Octa-Core Ryzen 9,AMD,0,16, DDR5 RAM,4.8,LCD,15.6,GeForce RTX 3070 Ti,NVIDIA,1024,0,65.0,Windows 11,8,60597000
HP,AMD Hexa-Core Ryzen 5,AMD,8,8, DDR4 RAM ,2.6,LCD,15.6,Integrated Graphics,AMD,512,0,45.0,Windows 11,0,10497000
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,8, DDR4 RAM ,2.0,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,DOS,0,14817000
ASUS,AMD Quad-Core Ryzen 3,AMD,16,8, LPDDR5 RAM ,4.0,LCD,14.0,Integrated Graphics,AMD,1024,0,45.0,Windows 11,0,10197000
MSI,Intel Core i9 (11th Gen),Intel,0,16, DDR4 RAM,4.7,LCD,16.0,GeForce RTX 3060,NVIDIA,1024,0,180.0,Windows 10,6,44999700
Lenovo,Intel Core i7 (13th Gen) Processor,Intel,16,16, LPDDR5 RAM ,2.5,LED,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,34257000
Lenovo,Intel Core i5 (12th Gen),Intel,32,12, DDR5 RAM ,2.4,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,17697000
ASUS,AMD Octa-Core Ryzen 9,AMD,16,16, LPDDR4X RAM ,3.1,LED,13.4,GeForce GTX 1650 Ti,NVIDIA,1024,0,100.0,Windows 10,4,31650000
ASUS,AMD Octa-Core Ryzen 9,AMD,0,16, DDR5 RAM,4.8,LCD,15.6,GeForce RTX 3070 Ti,NVIDIA,1024,0,65.0,Windows 11,8,60597000
Lenovo,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,3.0,LCD,15.6,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,10799700
Samsung,Intel Core Ultra 7,Intel,32,16, LPDDR4X RAM ,4.8,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,39597000
MSI,Intel Core i9 (13th Gen),Intel,0,64, DDR5 RAM,4.8,LCD,17.3,GeForce RTX 4080,NVIDIA,2048,0,330.0,Windows 11,12,116997000
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,16, DDR4 RAM ,2.0,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,13497000
HP,Intel Core i3 (12th Gen),Intel,8,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,DOS,0,9794700
MSI,Intel Core i5 (12th Gen),Intel,0,16, DDR5 RAM,3.3,LCD,15.6,GeForce RTX 3050,NVIDIA,1024,0,65.0,Windows 11,6,23697000
MSI,Intel Core i9 (13th Gen),Intel,0,16, DDR5 RAM,4.8,LCD,15.6,GeForce RTX 4060,NVIDIA,1024,0,65.0,Windows 11,8,40797000
Samsung,Intel Core Ultra 7,Intel,32,16, LPDDR5X RAM ,4.8,LED,16.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,43497000
ASUS,AMD Octa-Core Ryzen 7,AMD,0,8, DDR4 RAM,4.2,LCD,17.3,GeForce RTX 3050,NVIDIA,512,0,180.0,Windows 11,4,23097000
HP,AMD Hexa-Core Ryzen 5,AMD,8,8, DDR4 RAM ,2.1,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,DOS,0,10199700
MSI,Intel Core i3 (12th Gen),Intel,0,8, DDR4 RAM,0.8,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,13797000
ASUS,Intel Core i7 (13th Gen),Intel,32,16, DDR4 RAM ,1.5,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,240.0,Windows 11,6,32697000
Dell,Intel Core i7 (13th Gen),Intel,16,16, DDR4 RAM ,1.3,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,20997000
HP,AMD Hexa-Core Ryzen 5,AMD,0,16, DDR4 RAM,4.0,LCD,15.6,Integrated Graphics,AMD,1024,0,65.0,Windows 11,0,16797000
ASUS,AMD Octa-Core Ryzen 7,AMD,0,8, DDR4 RAM,3.0,LED,14.0,GeForce RTX 3050,NVIDIA,1024,0,150.0,Windows 10,4,31137000
HP,Intel Core i7 (12th Gen),Intel,16,16, DDR4 RAM ,4.7,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,200.0,Windows 11,6,26697000
HP,AMD Hexa-Core Ryzen 5,AMD,0,16, DDR4 RAM,4.2,LCD,15.6,Radeon RX 6500M,AMD,512,0,150.0,Windows 11,4,15761700
HP,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,4.0,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,10197000
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,16, DDR5 RAM ,4.7,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,6,24657000
Lenovo,Intel Core i7 (13th Gen),Intel,16,16, LPDDR5 RAM ,2.4,LCD,16.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,25257000
ASUS,AMD Octa-Core Ryzen 9,AMD,64,16, DDR5 RAM ,4.8,LCD,17.3,GeForce RTX 3080,NVIDIA,1024,0,65.0,Windows 11,8,65097000
ASUS,Intel Core i9 (12th Gen),Intel,0,32, DDR4 RAM,4.8,LCD,17.3,GeForce RTX 3070 Ti,NVIDIA,2048,0,90.0,Windows 11,8,80689500
Coconics,Intel Core i7 (10th Gen),Intel,16,8, DDR4 RAM ,1.8,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,25488000
ASUS,AMD Octa-Core Ryzen 9,AMD,0,16, DDR5 RAM,4.8,LCD,15.6,GeForce RTX 3080,NVIDIA,1024,0,90.0,Windows 11,8,63597000
ASUS,Intel Core i9 (12th Gen),Intel,0,32, DDR5 RAM,2.5,LCD,15.6,GeForce RTX 3080 Ti,NVIDIA,1024,0,65.0,Windows 11,16,85076700
ASUS,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,2.4,LED,14.0,Integrated Graphics,Intel,512,0,37.0,DOS,0,11997000
ASUS,AMD Octa-Core Ryzen 7,AMD,0,8, DDR4 RAM,2.9,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,150.0,Windows 10,4,24147000
ASUS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,3.1,LCD,15.6,GeForce RTX 3050,NVIDIA,1024,0,65.0,Windows 11,4,21297000
HP,Intel Core Ultra 7,Intel,0,32, LPDDR5X RAM,4.8,LED,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,50997000
HP,Intel Core Ultra 7,Intel,32,32, LPDDR5X RAM ,4.8,LED,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,49779000
MSI,Intel Core i7 (13th Gen),Intel,64,16, DDR5 RAM ,3.4,LED,15.6,GeForce RTX 4060,NVIDIA,1024,0,65.0,Windows 11,8,37197000
ASUS,AMD Octa-Core Ryzen 7,AMD,32,8, DDR4 RAM ,2.9,LCD,15.6,GeForce RTX 3050,NVIDIA,1024,0,65.0,Windows 10,4,31797000
Samsung,Intel Core i7 (13th Gen),Intel,0,16, LPDDR4X RAM,1.7,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,22197000
MSI,Intel Core i7 (13th Gen),Intel,64,32, DDR5 RAM ,4.8,LCD,16.0,GeForce RTX 4060,NVIDIA,1024,0,240.0,Windows 11,8,65997000
ASUS,AMD Octa-Core Ryzen 9,AMD,0,16, DDR5 RAM,4.8,LCD,15.6,Radeon,AMD,1024,0,200.0,Windows 11,6,50994000
ASUS,AMD Octa-Core Ryzen 9,AMD,0,16, DDR5 RAM,4.8,LCD,15.6,GeForce RTX 3080,NVIDIA,1024,0,65.0,Windows 11,8,56997000
ASUS,AMD Octa-Core Ryzen 9,AMD,32,32, DDR5 RAM ,4.8,LCD,14.0,GeForce RTX 4060,NVIDIA,1024,0,240.0,Windows 11,8,60434100
ASUS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR5 RAM,4.7,LCD,15.6,GeForce RTX 3060,NVIDIA,1024,0,240.0,Windows 11,6,32397300
Acer,AMD Dual-Core Ryzen 3,AMD,16,8, DDR4 RAM ,3.1,LCD,14.0,Integrated Graphics,Intel,64,1024,65.0,Windows 11,0,8999700
Lenovo,Intel Core i5 (12th Gen),Intel,0,8, DDR4 RAM,1.3,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,14397000
ASUS,AMD Octa-Core Ryzen 9,AMD,0,16, DDR5 RAM,4.8,LCD,16.0,Radeon 680M,AMD,1024,0,240.0,Windows 11,6,49197000
HP,Intel Core Ultra 7,Intel,32,32, LPDDR5X RAM ,4.8,LED,16.0,Integrated Graphics,Intel,2048,0,100.0,Windows 11,0,55497000
ASUS,AMD Octa-Core Ryzen 9,AMD,0,16, DDR4 RAM,3.0,LED,14.0,GeForce RTX 3050 Ti,NVIDIA,1024,0,180.0,Windows 10,4,29997000
Lenovo,AMD Quad-Core Ryzen 3,AMD,8,8, DDR4 RAM ,3.4,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,DOS,0,9600000
ASUS,Intel Core i9 (12th Gen),Intel,0,16, LPDDR5 RAM,2.5,LCD,13.4,GeForce RTX 3050 Ti,NVIDIA,1024,0,100.0,Windows 11,4,57597000
ASUS,Intel Core i9 (14th Gen),Intel,64,32, DDR5 RAM ,2.2,LCD,16.0,GeForce RTX 4090,NVIDIA,2048,0,330.0,Windows 11,16,98997000
HP,AMD Octa-Core Ryzen 7,AMD,8,8, DDR4 RAM ,4.2,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,DOS,0,14547000
Lenovo,Intel Core i7 (13th Gen),Intel,0,16, DDR5 RAM,3.4,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,170.0,Windows 11,6,30447000
Microsoft,Intel Core i5 (12th Gen),Intel,0,16, LPDDR5 RAM,3.4,LCD,12.4,Integrated Graphics,Intel,256,0,39.0,Windows 11,0,26517000
HP,AMD Hexa-Core Ryzen 5,AMD,0,16, LPDDR4X RAM,4.2,LED,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,26697000
Lenovo,AMD Octa-Core Ryzen 7,AMD,0,16, DDR5 RAM,3.4,LCD,15.6,GeForce RTX 4060,NVIDIA,512,0,170.0,Windows 11,8,30567000
ASUS,Intel Core i5 (12th Gen) Processor,Intel,0,16, DDR4 RAM,2.5,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,15705000
ASUS,Intel Core i9 (13th Gen),Intel,64,32, DDR5 RAM ,2.6,LCD,16.0,GeForce RTX 4090,NVIDIA,2048,0,280.0,Windows 11,16,109497000
Dell,AMD Octa-Core Ryzen 9,AMD,32,16, DDR5 RAM ,3.3,LCD,15.6,GeForce RTX 3060,NVIDIA,1024,0,65.0,Windows 11,6,32697000
HP,Intel Core i7 (12th Gen),Intel,32,16, DDR5 RAM ,4.7,LED,16.0,Arc A370M,Intel,512,0,65.0,Windows 11,4,46772400
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,16, LPDDR4X RAM ,2.1,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,25470000
HP,Intel Core i9 (12th Gen),Intel,32,32, DDR5 RAM ,4.8,LCD,17.3,GeForce RTX 3080 Ti,NVIDIA,2048,0,65.0,Windows 11,16,51000000
ASUS,AMD Octa-Core Ryzen 9,AMD,32,16, DDR5 RAM ,4.8,LCD,17.3,GeForce RTX 4050,NVIDIA,1024,0,240.0,Windows 11,6,42867000
Dell,Intel Core i7 (13th Gen),Intel,16,16, LPDDR5 RAM ,3.4,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,24567000
ASUS,Intel Core i9 (12th Gen),Intel,64,32, DDR5 RAM ,2.5,LCD,16.0,GeForce RTX 3070 Ti,NVIDIA,1024,0,65.0,Windows 11,8,62547000
HP,AMD Octa-Core Ryzen 7,AMD,32,16, DDR5 RAM ,4.7,LCD,16.1,GeForce RTX 3050 Ti,NVIDIA,512,0,200.0,Windows 11,4,37633200
ASUS,AMD Octa-Core Ryzen 9,AMD,32,16, DDR4 RAM ,3.1,LCD,15.6,GeForce RTX 3050 Ti,NVIDIA,1024,0,200.0,Windows 10,4,38697000
Microsoft,Intel Core i5 (11th Gen),Intel,16,16, LPDDR4X RAM ,1.5,LCD,13.5,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,45599700
Coconics,Intel Core i5 (10th Gen),Intel,32,8, DDR4 RAM ,1.0,LCD,15.6,Integrated Graphics,Intel,512,0,49.0,Windows 10,0,18708900
ASUS,AMD Octa-Core Ryzen 9,AMD,64,32, DDR5 RAM ,4.8,LCD,16.0,GeForce RTX 3080 Ti,NVIDIA,2048,0,65.0,Windows 11,16,108597000
Lenovo,Intel Core 5 (Series 1),Intel,16,16, DDR5 RAM ,1.4,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,19497000
Lenovo,AMD Octa-Core Ryzen 7,AMD,32,32, LPDDR5X RAM ,3.3,LCD,14.0,Integrated Graphics,AMD,1024,0,65.0,Windows 11,0,31497000
Gigabyte,Intel Core i7 (13th Gen),Intel,32,16, DDR5 RAM ,4.8,LCD,16.0,GeForce RTX 4050,NVIDIA,512,0,65.0,Windows 11,6,29131800
Gigabyte,Intel Core i7 (13th Gen),Intel,16,16, DDR5 RAM ,2.4,LCD,16.0,GeForce RTX 4060,NVIDIA,512,0,65.0,Windows 11,8,31948500
MSI,Intel Core Ultra 7,Intel,32,16, DDR5 RAM ,4.8,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,23397000
Dell,Intel Core i7 (13th Gen),Intel,0,16, DDR5 RAM,4.8,LCD,16.0,GeForce RTX 4060,NVIDIA,1024,0,330.0,Windows 11,8,47547000
MSI,Intel Core Ultra 7,Intel,32,16, DDR5 RAM ,4.8,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,20997000
Lenovo,AMD Octa-Core Ryzen 7,AMD,32,32, LPDDR5X RAM ,4.8,LCD,16.0,Integrated Graphics,AMD,1024,0,65.0,Windows 11,0,32247000
Dell,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,10797000
Samsung,Intel Core 5 (Series 1),Intel,0,16, LPDDR4X RAM,1.4,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,20699700
HP,Intel Core i7 (13th Gen),Intel,16,16, DDR4 RAM ,4.8,LCD,15.6,GeForce RTX 4060,NVIDIA,1024,0,200.0,Windows 11,8,32709600
MSI,AMD Octa-Core Ryzen 9,AMD,64,16, DDR5 RAM ,4.8,LCD,17.3,GeForce RTX 4050,NVIDIA,1024,0,65.0,Windows 11,6,34497000
Samsung,Intel Core 7 (Series 1),Intel,0,16, LPDDR4X RAM,1.8,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,23999700
Gigabyte,Intel Core i7 (13th Gen),Intel,64,16, DDR5 RAM ,4.8,LCD,15.6,GeForce RTX 4060,NVIDIA,512,0,65.0,Windows 11,6,32069100
Samsung,Intel Core 5 (Series 1),Intel,0,8, LPDDR4X RAM,1.4,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,20697000
Samsung,Intel Core i5 (13th Gen),Intel,0,8, LPDDR4X RAM,1.3,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,20397000
ASUS,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,2.5,LCD,16.0,GeForce RTX 3050,NVIDIA,1024,0,120.0,Windows 11,4,22497000
ASUS,Intel Core Ultra 9,Intel,32,32, LPDDR5X RAM ,2.3,LED,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,43497000
MSI,AMD Hexa-Core Ryzen 5,AMD,0,8, DDR5 RAM,3.3,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,120.0,Windows 11,4,15897000
ASUS,Intel Core i5 (13th Gen),Intel,0,16, DDR4 RAM,2.6,LED,14.0,GeForce RTX 2050,NVIDIA,512,0,90.0,Windows 11,4,22947000
HP,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,15548400
Dell,AMD Quad-Core Ryzen 5,AMD,16,8, LPDDR5 RAM ,4.2,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,13437000
MSI,Intel Core i7 (12th Gen),Intel,16,16, DDR4 RAM ,1.2,LCD,15.6,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,17397000
HP,Intel Core i3 (12th Gen),Intel,8,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,12870600
Dell,Intel Core i5 (13th Gen),Intel,0,16, LPDDR5 RAM,4.7,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,19917000
