Brand,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,OS,VRAM,Price_VND
Acer,AMD Hexa-Core Ryzen 5 Processor,AMD,32,16, DDR4 RAM ,2.5,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,65.0,Windows 11,4,17097000
Acer,AMD Hexa-Core Ryzen 5,AMD,8,8, DDR4 RAM ,2.1,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 10,4,14847000
ASUS,Intel Core i5 (10th Gen),Intel,12,8, DDR4 RAM ,1.0,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,13497000
Lenovo,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,3.0,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,10170000
HP,AMD Quad-Core Ryzen 3,AMD,16,8, DDR4 RAM ,2.6,LCD,15.6,Integrated Graphics,AMD,512,0,41.0,Windows 11,0,9297000
HP,AMD Quad-Core Ryzen 3,AMD,16,8, DDR4 RAM ,4.0,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,10193400
Lenovo,Intel Core i3 (7th Gen),Intel,0,4, DDR4 RAM,2.3,LED,15.6,Integrated Graphics,Intel,64,1024,45.0,Windows 10,0,10911000
Xiaomi,Intel Core i5 (11th Gen),Intel,8,8, DDR4 RAM ,3.1,LED,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,11997000
Lenovo,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,3.0,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,12297000
Lenovo,Intel Core i5 (8th Gen),Intel,0,8, DDR4 RAM,1.6,LED,15.6,GeForce MX150,NVIDIA,64,1024,65.0,DOS,2,9878100
ASUS,Intel Core i5 (10th Gen),Intel,12,8, DDR4 RAM ,1.0,LED,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,14456400
AVITA,AMD Quad-Core Ryzen 5,AMD,0,8, DDR4 RAM,2.1,LED,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 10,0,15447000
Acer,Intel Core i3 (11th Gen),Intel,32,8, DDR4 RAM ,3.0,LCD,14.0,Integrated Graphics,Intel,256,0,45.0,Windows 11,0,8099700
Infinix,Intel Core i3 (10th Gen),Intel,8,8, LPDDR4X RAM ,1.2,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,8997000
Lenovo,Intel Core i5 (11th Gen),Intel,16,16, DDR4 RAM ,2.4,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,15297000
Acer,Intel Core i3 (11th Gen),Intel,32,8, DDR4 RAM ,3.0,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,8397000
HP,Intel Pentium Dual-Core,Intel,16,8, DDR4 RAM ,3.0,LED,15.6,Integrated Graphics,Intel,64,1024,65.0,Windows 10,0,12165000
Lenovo,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,2.5,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,12297000
Lenovo,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,2.4,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,16497000
MSI,Intel Core i5 (9th Gen),Intel,0,8, DDR4 RAM,2.4,LED,15.6,GeForce GTX 1650 Max Q,NVIDIA,512,0,120.0,Windows 10,4,17399700
HP,Intel Core i3 (11th Gen),Intel,16,8, DDR4 RAM ,3.4,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,13767000
Lenovo,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.5,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 11,4,15900000
ASUS,Intel Core i5 (10th Gen),Intel,0,8, DDR4 RAM,2.5,LED,15.6,GeForce GTX 1650 Ti,NVIDIA,512,0,150.0,Windows 10,4,16797000
HP,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,4.2,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,12447000
Lenovo,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,2.5,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 11,4,15900000
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,16, DDR4 RAM ,2.1,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,11697000
